#Depth. m	Depth Bottom. m	Depth top. mwe	Depth bot. mwe	Nh4[ppb]	Ca[ppb]	No3[ppb]	So4[ppb]
40.208	40.347	23.066	23.169	178.947	118.507	335.073	355.277
40.347	40.486	23.169	23.272	203.745	231.258	451.871	744.366
40.486	40.625	23.272	23.374	241.504	335.310	493.843	965.195
40.625	40.763	23.374	23.477	156.677	474.240	300.628	509.875
40.763	40.902	23.477	23.58	251.727	1277.128	498.736	1189.181
40.902	40.942	23.58	23.608	58.506	65.899	155.222	278.463
40.942	40.982	23.608	23.637	58.339	65.155	164.664	292.208
40.982	41.022	23.637	23.666	57.673	62.182	202.431	347.186
41.022	41.062	23.666	23.695	57.673	62.182	202.431	347.186
41.062	41.102	23.695	23.723	79.149	121.616	349.001	511.627
41.102	41.142	23.723	23.752	82.939	132.105	374.866	540.646
41.142	41.272	23.752	23.846	130.621	195.290	474.460	762.057
41.272	41.401	23.846	23.94	205.595	236.698	401.708	1029.534
41.401	41.531	23.94	24.034	297.824	402.805	619.069	1175.317
41.531	41.661	24.034	24.128	340.950	441.670	665.330	1086.263
41.661	41.791	24.128	24.222	149.397	216.745	363.029	584.168
41.791	41.921	24.222	24.316	110.948	188.934	293.085	469.223
41.921	42.052	24.316	24.414	48.697	116.617	133.073	255.645
42.052	42.183	24.414	24.511	78.194	16.006	221.063	154.891
42.183	42.314	24.511	24.608	58.368	92.993	155.378	310.425
42.314	42.445	24.608	24.705	47.800	95.348	159.810	362.485
42.445	42.576	24.705	24.803	32.300	57.510	210.575	287.213
42.576	42.707	24.803	24.9	18.058	25.758	69.143	141.480
42.707	42.872	24.9	25.023	72.137	159.148	212.243	634.403
42.872	43.038	25.023	25.147	121.573	271.361	261.230	850.054
43.038	43.204	25.147	25.271	219.326	403.117	421.350	799.988
43.204	43.369	25.271	25.395	260.415	478.366	506.435	799.688
43.369	43.535	25.395	25.518	168.518	121.376	319.563	491.667
43.535	43.700	25.518	25.642	128.179	269.066	279.665	499.551
43.700	43.770	25.642	25.694	79.913	118.457	142.395	235.083
43.770	43.839	25.694	25.746	74.297	119.970	118.203	193.322
43.839	43.909	25.746	25.798	72.741	156.849	130.589	231.208
43.909	43.978	25.798	25.85	72.791	173.546	139.550	254.244
43.978	44.048	25.85	25.902	39.007	63.187	134.884	274.328
44.048	44.117	25.902	25.954	39.007	63.187	134.884	274.328
44.117	44.270	25.954	26.07	136.981	213.687	533.039	777.936
44.270	44.423	26.07	26.185	242.013	289.702	408.820	1017.365
44.423	44.577	26.185	26.3	252.534	327.910	608.680	993.972
44.577	44.730	26.3	26.416	292.864	555.473	754.860	946.580
44.730	44.883	26.416	26.531	156.234	130.422	247.812	393.441
44.883	45.036	26.531	26.647	139.482	428.431	243.338	409.630
45.036	45.079	26.647	26.679	74.790	429.763	127.889	200.455
45.079	45.121	26.679	26.711	74.790	429.763	127.889	200.455
45.121	45.164	26.711	26.743	nan	nan	nan	nan
45.164	45.206	26.743	26.776	nan	nan	nan	nan
